Medicines,,exhaustion,fever,low preesure,,muscle cramps,,headache,itching,nausea,bleeding,allergic reaction,,heart problem,,imbalance syndrome,,air accumulation,,swelling,psychological problems
epoetin alfa,,1,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
darbepoetin alfa,,1,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
ferrous sulfate,,1,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
iron dextran,,1,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
thiamine ,,1,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
pyridoxine,,1,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
calcitriol,,1,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
ergocalciferol,,0,0,0,,0,,0,0,0,0,0,,0,,0,,0,,0,0
normal saline,,0,0,1,,0,,0,0,0,0,0,,0,,0,,0,,0,0
midodrine,,0,0,1,,0,,0,0,0,0,0,,0,,0,,0,,0,0
fludrocortisone,,0,0,1,,0,,0,0,0,0,0,,0,,0,,0,,0,0
epinephrine,,0,0,1,,0,,0,0,0,0,1,,0,,0,,1,,0,0
calcium gluconate,,0,0,0,,1,,0,0,0,0,0,,1,,0,,0,,0,0
magnesium sulfate,,0,0,0,,1,,0,0,0,0,0,,0,,0,,0,,0,0
magnesium oxide,,0,0,0,,1,,0,0,0,0,0,,0,,0,,0,,0,0
quinine sulfate,,0,0,0,,1,,0,0,0,0,0,,0,,0,,0,,0,0
L-carnitine,,0,0,0,,1,,0,0,0,0,0,,0,,0,,0,,0,0
hypertonic glucose,,0,0,0,,1,,0,0,0,0,0,,0,,0,,0,,0,0
paracetamol,,0,1,0,,0,,1,0,0,1,0,,0,,0,,0,,0,0
cetirizine,,0,0,0,,0,,0,1,0,0,1,,0,,0,,0,,0,0
diphenhydramine,,0,0,0,,0,,0,1,0,0,1,,0,,0,,0,,0,0
hydroxyzine,,0,0,0,,0,,0,1,0,0,0,,0,,0,,0,,0,0
sevelamer,,0,0,0,,0,,0,1,0,0,0,,0,,0,,0,,0,0
calcium carbonate,,0,0,0,,0,,0,1,0,0,0,,0,,0,,0,,0,0
lanthanum carbonate,,0,0,0,,0,,0,1,0,0,0,,0,,0,,0,,0,0
hydrocortisone cream,,0,0,0,,0,,0,1,0,0,0,,0,,0,,0,,0,0
urea-based creams,,0,0,0,,0,,0,1,0,0,0,,0,,0,,0,,0,0
gabapentin,,0,0,0,,0,,0,1,0,0,0,,0,,0,,0,,0,0
Nalfurafine,,0,0,0,,0,,0,1,0,0,0,,0,,0,,0,,0,0
ondansetron,,0,0,0,,0,,0,0,1,0,0,,0,,0,,0,,0,0
metoclopramide,,0,0,0,,0,,0,0,1,0,0,,0,,0,,0,,0,0
domperidone ,,0,0,0,,0,,0,0,1,0,0,,0,,0,,0,,0,0
prochlorperazine,,0,0,0,,0,,0,0,1,0,0,,0,,0,,0,,0,0
dexamethasone,,0,0,0,,0,,0,0,1,0,0,,0,,1,,1,,0,0
paracetamol,,0,1,0,,0,,1,0,0,1,0,,0,,0,,0,,0,0
 lidocaine cream,,0,0,0,,0,,0,0,0,1,0,,0,,0,,0,,0,0
